Feature_Designation_Code,Feature_Designation_Name,Feature_Designation_Description,Collection_Guidance,Feature_Class
LNDF,landfill,a place for trash and garbage disposal in which the waste is buried between layers of earth to build up low-lying land,Center of Feature,S - Spot Features
LOCK,lock(s),basin(s) in a waterway with gates at each end by means of which vessels are passed from one water level to another,Center of Feature,S - Spot Features
LTER,leased area,a tract of land leased by the United Kingdom from the People's Republic of China to form part of Hong Kong,Center of Feature,A - Administrative Regions
LTHSE,lighthouse,a distinctive structure exhibiting a major navigation light,Center of Feature,S - Spot Features
MAR,marina,"a harbor facility for small boats, yachts, etc.",Center of Feature,S - Spot Features
MDVU,undersea median valley,the axial depression of the mid-oceanic ridge system,Center of Feature (modification/addition requires ACUF approval),U - Undersea
MDW,meadow,"a small, poorly drained area dominated by grassy vegetation",Center of Feature,V - Vegetation
MESA,mesa(s),"flat-topped, isolated elevation(s) with steep slopes on all sides, less extensive than a plateau",Center of Feature,T - Hypsographic
MESU,undersea mesa,"an isolated, extensive, flat-topped elevation on the shelf, with relatively steep sides",Center of Feature (modification/addition requires ACUF approval),U - Undersea
MFG,factory,"one or more buildings where goods are manufactured, processed or fabricated",Center of Feature,S - Spot Features
MFGB,brewery,one or more buildings where beer is brewed,Center of Feature,S - Spot Features
MFGC,cannery,a building where food items are canned,Center of Feature,S - Spot Features
MFGCU,copper works,a facility for processing copper ore,Center of Feature,S - Spot Features
MFGLM,limekiln,a furnace in which limestone is reduced to lime,Center of Feature,S - Spot Features
MFGM,munitions plant,a factory where ammunition is made,Center of Feature,S - Spot Features
MFGN,salt evaporation ponds,diked salt ponds used in the production of solar evaporated salt,Center of Feature,H - Hydrographic
MFGPH,phosphate works,a facility for producing fertilizer,Center of Feature,S - Spot Features
MFGQ,abandoned factory,abandoned factory,Center of Feature,S - Spot Features
MFGSG,sugar refinery,a facility for converting raw sugar into refined sugar,Center of Feature,S - Spot Features
MGV,mangrove swamp,a tropical tidal mud flat characterized by mangrove vegetation,Center of Feature,H - Hydrographic
MKT,market,a place where goods are bought and sold at regular intervals,Center of Feature,S - Spot Features
ML,mill(s),"building(s) housing machines for transforming, shaping, finishing, grinding, or extracting products",Center of Feature,S - Spot Features
MLM,ore treatment plant,a facility for improving the metal content of ore by concentration,Center of Feature,S - Spot Features
MLO,olive oil mill,a mill where oil is extracted from olives,Center of Feature,S - Spot Features
MLSG,sugar mill,a facility where sugar cane is processed into raw sugar,Center of Feature,S - Spot Features
MLSGQ,former sugar mill,a sugar mill no longer used as a sugar mill,Center of Feature,S - Spot Features
MLSW,sawmill,a mill where logs or lumber are sawn to specified shapes and sizes,Center of Feature,S - Spot Features
MLWND,windmill,a mill or water pump powered by wind,Center of Feature,S - Spot Features
MLWTR,water mill,a mill powered by running water,Center of Feature,S - Spot Features
MN,mine(s),site(s) where mineral ores are extracted from the ground by excavating surface pits and subterranean passages,Center of Feature,S - Spot Features
MNA,mining area,an area of mine sites where minerals and ores are extracted,Center of Feature,L - Areas/Localities
MNAU,gold mine(s),"mine(s) where gold ore, or alluvial gold is extracted",Center of Feature,S - Spot Features
MNC,coal mine(s),mine(s) where coal is extracted,Center of Feature,S - Spot Features
MNCR,chrome mine(s),mine(s) where chrome ore is extracted,Center of Feature,S - Spot Features
MNCU,copper mine(s),mine(s) where copper ore is extracted,Center of Feature,S - Spot Features
MND,mound(s),"low, isolated, rounded hill(s)",Center of Feature,T - Hypsographic
MNDT,diatomite mine(s),place(s) where diatomaceous earth is extracted,Center of Feature,S - Spot Features
MNDU,undersea mound,"a low, isolated, rounded hill",Center of Feature (modification/addition requires ACUF approval),U - Undersea
MNFE,iron mine(s),mine(s) where iron ore is extracted,Center of Feature,S - Spot Features
MNMT,monument,a commemorative structure or statue,Center of Feature,S - Spot Features
MNN,salt mine(s),mine(s) from which salt is extracted,Center of Feature,S - Spot Features
MNNI,nickel mine(s),mine(s) where nickel ore is extracted,Center of Feature,S - Spot Features
MNPB,lead mine(s),mine(s) where lead ore is extracted,Center of Feature,S - Spot Features
MNPL,placer mine(s),place(s) where heavy metals are concentrated and running water is used to extract them from unconsolidated sediments,Center of Feature,S - Spot Features
MNQ,abandoned mine,abandoned mine,Center of Feature,S - Spot Features
MNQR,quarry(-ies),"surface mine(s) where building stone or gravel and sand, etc. are extracted",Center of Feature,S - Spot Features
MNSN,tin mine(s),mine(s) where tin ore is extracted,Center of Feature,S - Spot Features
MOLE,mole,a massive structure of masonry or large stones serving as a pier or breakwater,Center of Feature,S - Spot Features
MOOR,moor(s),area(s) of open ground overlaid with wet peaty soils,Center of Feature,H - Hydrographic
MOTU,undersea moat,"an annular depression that may not be continuous, located at the base of many seamounts, islands, and other isolated elevations",Center of Feature (modification/addition requires ACUF approval),U - Undersea
MRN,moraine,"a mound, ridge, or other accumulation of glacial till",Center of Feature,T - Hypsographic
MRSH,marsh(es),wetland(s) dominated by grass-like vegetation,Center of Feature,H - Hydrographic
MRSHN,salt marsh,"a flat area, subject to periodic salt water inundation, dominated by grassy salt-tolerant plants",Center of Feature,H - Hydrographic
MSQE,mosque,a building for public Islamic worship,Center of Feature,S - Spot Features
MSSN,mission,"a place characterized by dwellings, school, church, hospital and other facilities operated by a religious group for the purpose of providing charitable services and to propagate religion",Center of Feature,S - Spot Features
MSSNQ,abandoned mission,abandoned mission,Center of Feature,S - Spot Features
MSTY,monastery,a building and grounds where a community of monks lives in seclusion,Center of Feature,S - Spot Features
MT,mountain,"an elevation standing high above the surrounding area with small summit area, steep slopes and local relief of 300m or more",Center of Feature,T - Hypsographic
MTS,mountains,a mountain range or a group of mountains or high ridges,Center of Feature,T - Hypsographic
MTSU,undersea mountains,well-delineated subdivisions of a large and complex positive feature,Center of Feature (modification/addition requires ACUF approval),U - Undersea
MTU,undersea mountain,a well-delineated subdivision of a large and complex positive feature,Center of Feature (modification/addition requires ACUF approval),U - Undersea
MUS,museum,a building where objects of permanent interest in one or more of the arts and sciences are preserved and exhibited,Center of Feature,S - Spot Features
MVA,maneuver area,a tract of land where military field exercises are carried out,Center of Feature,L - Areas/Localities
NKM,meander neck,a narrow strip of land between the two limbs of a meander loop at its narrowest point,Center of Feature,T - Hypsographic
NOV,novitiate,a religious house or school where novices are trained,Center of Feature,S - Spot Features
NRWS,narrows,"a navigable narrow part of a bay, strait, river, etc.",Center of Feature,H - Hydrographic
NSY,nursery(-ies),place(s) where plants are propagated for transplanting or grafting,Center of Feature,S - Spot Features
NTK,nunatak,a rock or mountain peak protruding through glacial ice,Center of Feature,T - Hypsographic
NTKS,nunataks,rocks or mountain peaks protruding through glacial ice,Center of Feature,T - Hypsographic
NVB,naval base,"an area used to store supplies, provide barracks for troops and naval personnel, a port for naval vessels, and from which operations are initiated",Center of Feature,L - Areas/Localities
OAS,oasis(-es),an area in a desert made productive by the availability of water,Center of Feature,L - Areas/Localities
OBPT,observation point,a wildlife or scenic observation point,Center of Feature,S - Spot Features
OBS,observatory,a facility equipped for observation of atmospheric or space phenomena,Center of Feature,S - Spot Features
OBSR,radio observatory,a facility equipped with an array of antennae for receiving radio waves from space,Center of Feature,S - Spot Features
OCH,orchard(s),planting(s) of fruit or nut trees,Center of Feature,V - Vegetation
OCN,ocean,one of the major divisions of the vast expanse of salt water covering part of the earth,Center of Feature (changes to primary name or designation require BGN/FNC approval),H - Hydrographic
OILF,oilfield,an area containing a subterranean store of petroleum of economic value,Center of Feature,L - Areas/Localities
OILJ,oil pipeline junction,a section of an oil pipeline where two or more pipes join together,Center of Feature,S - Spot Features
OILP,oil pipeline,a pipeline used for transporting oil,At Dispersal Point,R - Transportation Networks
OILQ,abandoned oil well,abandoned oil well,Center of Feature,S - Spot Features
OILR,oil refinery,a facility for converting crude oil into refined petroleum products,Center of Feature,S - Spot Features
OILT,tank farm,"a tract of land occupied by large, cylindrical, metal tanks in which oil or liquid petrochemicals are stored",Center of Feature,S - Spot Features
OILW,oil well,a well from which oil may be pumped,Center of Feature,S - Spot Features
OVF,overfalls,an area of breaking waves caused by the meeting of currents or by waves moving against the current,Center of Feature,H - Hydrographic
PAL,palace,"a large stately house, often a royal or presidential residence",Center of Feature,S - Spot Features
PAN,pan(s),"near-level shallow, natural depression(s) or basin(s), usually containing an intermittent lake, pond, or pool",Center of Feature,T - Hypsographic
PASS,pass,"a break in a mountain range or other high obstruction, used for transportation from one side to the other [See also gap]",Center of Feature,T - Hypsographic
PCL,political entity,political entity,Center of Feature (changes to primary name or designation require BGN/FNC approval),A - Administrative Regions
PCLD,dependent political entity,dependent political entity,Center of Feature (changes to primary name or designation require BGN/FNC approval),A - Administrative Regions
PCLI,independent political entity,independent political entity,Center of Feature (changes to primary name or designation require BGN/FNC approval),A - Administrative Regions
PCLIX,section of independent political entity,section of independent political entity,Center of Feature (changes to primary name or designation require BGN/FNC approval),A - Administrative Regions
PEAT,peat cutting area,an area where peat is harvested,Center of Feature,L - Areas/Localities
PEN,peninsula,an elongate area of land projecting into a body of water and nearly surrounded by water,Center of Feature,T - Hypsographic
PENX,section of peninsula,section of peninsula,Center of Feature,T - Hypsographic
PGDA,pagoda,"a tower-like storied structure, usually a Buddhist shrine",Center of Feature,S - Spot Features
PIER,pier,a structure built out into navigable water on piles providing berthing for ships and recreation,Center of Feature,S - Spot Features
PK,peak(s),"pointed elevation(s) atop a mountain, ridge, or other hypsographic feature",Center of Feature,T - Hypsographic
PKLT,parking lot,an area used for parking vehicles,Center of Feature,S - Spot Features
PKSU,undersea peaks,"prominent elevations, part of a larger feature, either pointed or of very limited extent across the summit",Center of Feature (modification/addition requires ACUF approval),U - Undersea
PKU,undersea peak,"a prominent elevation, part of a larger feature, either pointed or of very limited extent across the summit",Center of Feature (modification/addition requires ACUF approval),U - Undersea
PLAT,plateau,"an elevated plain with steep slopes on one or more sides, and often with incised streams",Center of Feature,T - Hypsographic
PLATX,section of plateau,section of plateau,Center of Feature,T - Hypsographic
PLDR,polder,an area reclaimed from the sea by diking and draining,Center of Feature,T - Hypsographic
PLFU,undersea platform,a flat or gently sloping underwater surface extending seaward from the shore,Center of Feature (modification/addition requires ACUF approval),U - Undersea
PLN,plain(s),"extensive area(s) of comparatively level to gently undulating land, lacking surface irregularities, and usually adjacent to a higher area",Center of Feature,T - Hypsographic
PLNU,undersea plain,"a flat, gently sloping or nearly level region",Center of Feature (modification/addition requires ACUF approval),U - Undersea
PLNX,section of plain,section of plain,Center of Feature,T - Hypsographic
PLTU,undersea plateau,"a comparatively flat-topped feature of considerable extent, dropping off abruptly on one or more sides",Center of Feature (modification/addition requires ACUF approval),U - Undersea
PMPO,oil pumping station,a facility for pumping oil through a pipeline,Center of Feature,S - Spot Features
PMPW,water pumping station,a facility for pumping water from a major well or through a pipeline,Center of Feature,S - Spot Features
PND,pond(s),small standing waterbody(-ies),Center of Feature,H - Hydrographic
PNDI,intermittent pond(s),small standing waterbody(-ies) that are filled for part of the year,Center of Feature,H - Hydrographic
PNDN,salt pond(s),"small standing body(-ies) of salt water often in a marsh or swamp, usually along a seacoast",Center of Feature,H - Hydrographic
PNDNI,intermittent salt pond(s),intermittent salt pond(s),Center of Feature,H - Hydrographic
PNDSF,fishponds,ponds or enclosures in which fish are kept or raised,Center of Feature,H - Hydrographic
PNLU,undersea pinnacle,"a high tower or spire-shaped pillar of rock or coral, alone or cresting a summit",Center of Feature (modification/addition requires ACUF approval),U - Undersea
PO,post office,"a public building in which mail is received, sorted and distributed",Center of Feature,S - Spot Features
POOL,pool(s),"small and comparatively still, deep part(s) of a larger body of water such as a stream or harbor; or small body(-ies) of standing water",Center of Feature,H - Hydrographic
POOLI,intermittent pool,intermittent pool,Center of Feature,H - Hydrographic
PP,police post,a building in which police are stationed,Center of Feature,S - Spot Features
PPL,populated place,"a city, town, village, or other agglomeration of buildings where people live and work",Center of Feature,P - Populated Places
PPLA,seat of a first-order administrative division,seat of a primary administrative division (PPLC takes precedence over PPLA),Center of Feature (changes to primary name or designation require BGN/FNC approval),P - Populated Places
PPLA2,seat of a second-order administrative division,seat of a second-order administrative division,Center of Feature,P - Populated Places
PPLA3,seat of a third-order administrative division,seat of a third-order administrative division,Center of Feature,P - Populated Places
PPLA4,seat of a fourth-order administrative division,seat of a fourth-order administrative division,Center of Feature,P - Populated Places
PPLC,capital of an independent state,capital of a political entity designated as an independent state,Center of Feature (changes to primary name or designation require BGN/FNC approval),P - Populated Places
PPLCD,capital of a dependency or special area,capital or administrative center of a dependent political territory or area of special sovereignty,Center of Feature (changes to primary name or designation require BGN/FNC approval),P - Populated Places
PPLF,farm village,a populated place where the population is largely engaged in agricultural activities,Center of Feature,P - Populated Places
PPLL,populated locality,an area similar to a locality but with a small group of dwellings or other buildings,Center of Feature,P - Populated Places
PPLQ,abandoned populated place,abandoned populated place,Center of Feature,P - Populated Places
PPLR,religious populated place,a populated place whose population is largely engaged in religious occupations,Center of Feature,P - Populated Places
PPLW,destroyed populated place,"a village, town or city destroyed by a natural disaster, or by war",Center of Feature,P - Populated Places
PPLX,section of populated place,section of populated place,Center of Feature,P - Populated Places
PPQ,abandoned police post,abandoned police post,Center of Feature,S - Spot Features
PRK,park,"an area of defined limits which is set aside for human recreation and enjoyment and/or for historic preservation purposes, and is usually maintained in a natural, semi-natural, or ornamentally planted state",Center of Feature,L - Areas/Localities
PRKHQ,park headquarters,a park administrative facility,Center of Feature,S - Spot Features
PRMN,promenade,"a place for public walking, usually along a beach front",Center of Feature,R - Transportation Networks
PRN,prison,a facility for confining prisoners,Center of Feature,S - Spot Features
PRNC,prison camp,"a prison or facility used for the temporary preventative confinement of people, often in large groups",Center of Feature,S - Spot Features
PRNJ,reformatory,"a facility for confining, training, and reforming young law offenders",Center of Feature,S - Spot Features
PRNQ,abandoned prison,abandoned prison,Center of Feature,S - Spot Features
PROM,promontory(-ies),bluff(s) or prominent hill(s) overlooking or projecting into a lowland,Center of Feature,T - Hypsographic
PRSH,parish,an ecclesiastical district,Center of Feature,A - Administrative Regions
PRT,port,"a place provided with terminal and transfer facilities for loading and discharging waterborne cargo or passengers, usually located in a harbor",Center of Feature,L - Areas/Localities
PRVU,undersea province,a region identifiable by a group of similar physiographic features whose characteristics are markedly in contrast with surrounding areas,Center of Feature (modification/addition requires ACUF approval),U - Undersea
PS,power station,a facility for generating electric power,Center of Feature,S - Spot Features
PSH,hydroelectric power station,a building where electricity is generated from water power,Center of Feature,S - Spot Features
PSN,nuclear power station,nuclear power station,Center of Feature,S - Spot Features
PSS,power substation,"a facility, along a power transmission line, in which electric current is switched, transformed, and/or converted",Center of Feature,S - Spot Features
PSTB,border post,a post or station at an international boundary for the regulation of movement of people and goods,Center of Feature,S - Spot Features
PSTP,patrol post,a post from which patrols are sent out,Center of Feature,S - Spot Features
PSW,wind farm,a collection of wind turbines that are collocated and organized as a single power-generation unit,Center of Feature,S - Spot Features
PT,point(s),"tapering piece(s) of land projecting into a body of water, less prominent than a cape",Center of Feature,T - Hypsographic
PTGE,portage,"a place where boats, goods, etc., are carried overland between navigable waters",Center of Feature,R - Transportation Networks
PYR,pyramid(s),ancient massive structure(s) of square ground plan with four triangular faces meeting at a point and used for enclosing tombs,Center of Feature,S - Spot Features
QCKS,quicksand,"an area where loose sand with water moving through it may become unstable when heavy objects are placed at the surface, causing them to sink",Center of Feature,L - Areas/Localities
QUAY,quay,a structure of solid construction along a shore or bank which provides berthing for ships and which generally provides cargo handling facilities,Center of Feature,S - Spot Features
RAVU,undersea ravine,a small canyon,Center of Feature (modification/addition requires ACUF approval),U - Undersea
RCH,reach,a straight section of a navigable stream or channel between two bends,Center of Feature,H - Hydrographic
RD,road,"an open way with improved surface for transportation of animals, people and vehicles","Westernmost End (When feature is North to South Oriented, Southernmost End)",R - Transportation Networks
RDA,ancient road,the remains of a road used by ancient cultures,"Westernmost End (When feature is North to South Oriented, Southernmost End)",R - Transportation Networks
RDB,road bend,a conspicuously curved or bent section of a road,Center of Feature,R - Transportation Networks
RDCR,traffic circle,a road junction formed around a central circle about which traffic moves in one direction only,Center of Feature,S - Spot Features
RDCUT,road cut,an excavation cut through a hill or ridge for a road,Center of Feature,R - Transportation Networks
RDGB,beach ridge,"a ridge of sand just inland and parallel to the beach, usually in series",Center of Feature,T - Hypsographic
RDGE,ridge(s),"long narrow elevation(s) with steep sides, and a more or less continuous crest",Center of Feature,T - Hypsographic
RDGG,icecap ridge,a linear elevation on an icecap,Center of Feature,H - Hydrographic
RDGU,undersea ridge,a long narrow elevation with steep sides,Center of Feature (modification/addition requires ACUF approval),U - Undersea
RDIN,intersection,a junction of two or more highways by a system of separate levels that permit traffic to pass from one to another without the crossing of traffic streams,Center of Feature,R - Transportation Networks
RDJCT,road junction,a place where two or more roads join,Center of Feature,R - Transportation Networks
RDST,roadstead,an open anchorage affording less protection than a harbor,Center of Feature,H - Hydrographic
RDSU,undersea ridges,long narrow elevations with steep sides,Center of Feature (modification/addition requires ACUF approval),U - Undersea
RECG,golf course,a recreation field where golf is played,Center of Feature,S - Spot Features
RECR,racetrack,a track where races are held,Center of Feature,S - Spot Features
REG,stony desert,a desert plain characterized by a surface veneer of gravel and stones,Center of Feature,T - Hypsographic
RES,reserve,a tract of public land reserved for future use or restricted as to use,Center of Feature,L - Areas/Localities
RESA,agricultural reserve,a tract of land reserved for agricultural reclamation and/or development,Center of Feature,L - Areas/Localities
RESF,forest reserve,a forested area set aside for preservation or controlled use,Center of Feature,L - Areas/Localities
RESH,hunting reserve,a tract of land used primarily for hunting,Center of Feature,L - Areas/Localities
RESN,nature reserve,an area reserved for the maintenance of a natural habitat,Center of Feature,L - Areas/Localities
RESP,palm tree reserve,an area of palm trees where use is controlled,Center of Feature,L - Areas/Localities
RESV,reservation,"a tract of land set aside for aboriginal, tribal, or native populations",Center of Feature,L - Areas/Localities
RESW,wildlife reserve,a tract of public land reserved for the preservation of wildlife,Center of Feature,L - Areas/Localities
RET,store,a building where goods and/or services are offered for sale,Center of Feature,S - Spot Features
RF,reef(s),surface-navigation hazard(s) composed of consolidated material,Center of Feature,H - Hydrographic
RFC,coral reef(s),surface-navigation hazard(s) composed of coral,Center of Feature,H - Hydrographic
RFSU,undersea reefs,surface-navigation hazards composed of consolidated material,Center of Feature (modification/addition requires ACUF approval),U - Undersea
RFU,undersea reef,a surface-navigation hazard composed of consolidated material,Center of Feature (modification/addition requires ACUF approval),U - Undersea
RFX,section of reef,section of reef,Center of Feature,H - Hydrographic
RGN,region,an area distinguished by one or more observable physical characteristics,Center of Feature,L - Areas/Localities
RGNC,cultural region,"an area of cultural or historical significance, varying in size and often formerly an administrative subdivision or a political entity",Center of Feature,L - Areas/Localities
RGNE,economic region,a region of a country established for economic development or for statistical purposes,Center of Feature,L - Areas/Localities
RGNL,lake region,a tract of land distinguished by numerous lakes,Center of Feature,L - Areas/Localities
RHSE,resthouse,a structure maintained for the rest and shelter of travelers,Center of Feature,S - Spot Features
RISU,undersea rise,"a broad elevation that rises gently, and generally smoothly, from the sea floor",Center of Feature (modification/addition requires ACUF approval),U - Undersea
RJCT,railroad junction,a place where two or more railroad tracks join,Center of Feature,R - Transportation Networks
RK,rock,"a conspicuous, isolated rocky mass",Center of Feature,T - Hypsographic
RKFL,rockfall,an irregular mass of fallen rock at the base of a cliff or steep slope,Center of Feature,T - Hypsographic
RKRY,rookery,a breeding place of a colony of birds or seals,Center of Feature,S - Spot Features
RKS,rocks,"conspicuous, isolated rocky masses",Center of Feature,T - Hypsographic
RLG,religious site,an ancient site of significant religious importance,Center of Feature,S - Spot Features
RLGR,retreat,"a place of temporary seclusion, especially for religious groups",Center of Feature,S - Spot Features
RMPU,undersea ramp,a gentle slope connecting areas of different elevations,Center of Feature (modification/addition requires ACUF approval),U - Undersea
RNCH,ranch(es),large farm(s) specializing in extensive grazing of livestock,Center of Feature,S - Spot Features
RNGA,firing range,a tract of land designated for the safe discharge of weapons of all types and the detonation of munitions,Center of Feature,L - Areas/Localities
RNGU,undersea range,a series of associated ridges or seamounts,Center of Feature (modification/addition requires ACUF approval),U - Undersea
RPDS,rapids,"a turbulent section of a stream associated with a steep, irregular stream bed",Center of Feature,H - Hydrographic
RR,railroad,a permanent twin steel-rail track on which freight and passenger cars move long distances,"Westernmost End (When feature is North to South Oriented, Southernmost End)",R - Transportation Networks
RRQ,abandoned railroad,abandoned railroad,"Westernmost End (When feature is North to South Oriented, Southernmost End)",R - Transportation Networks
RSD,railroad siding,a short track parallel to and joining the main track,Center of Feature,S - Spot Features
RSGNL,railroad signal,a signal at the entrance of a particular section of track governing the movement of trains,Center of Feature,S - Spot Features
RSRT,resort,"a specialized facility for vacation, health, or participation sports activities",Center of Feature,S - Spot Features
RSTN,railroad station,"a facility comprising ticket office, platforms, etc. for loading and unloading train passengers and freight",Center of Feature,S - Spot Features
RSTNQ,abandoned railroad station,abandoned railroad station,Center of Feature,S - Spot Features
RSTP,railroad stop,a place lacking station facilities where trains stop to pick up and unload passengers and freight,Center of Feature,S - Spot Features
RSTPQ,abandoned railroad stop,abandoned railroad stop,Center of Feature,S - Spot Features
RSV,reservoir(s),artificial pond(s) or lake(s),Center of Feature,H - Hydrographic
RSVI,intermittent reservoir,intermittent reservoir,Center of Feature,H - Hydrographic
RSVT,water tank,"a contained pool or tank of water at, below, or above ground level",Center of Feature,H - Hydrographic
RTE,caravan route,the route taken by caravans,"Westernmost End (When feature is North to South Oriented, Southernmost End)",R - Transportation Networks
RUIN,ruin(s),destroyed or decayed structure(s) which is/are no longer functional,Center of Feature,S - Spot Features
RVN,ravine(s),"small, narrow, deep, steep-sided stream channel(s), smaller than a gorge",Center of Feature,H - Hydrographic
RYD,railroad yard,"a system of tracks used for the making up of trains, and switching and storing freight cars",Center of Feature,R - Transportation Networks
RYDQ,abandoned railroad yard,an abandoned railroad yard,Center of Feature,S - Spot Features
SALT,salt area,a shallow basin or flat where salt accumulates after periodic inundation,Center of Feature,L - Areas/Localities
SAND,sand area,a tract of land covered with sand,Center of Feature,T - Hypsographic
SBED,dry stream bed,a channel formerly containing the water of a stream,Center of Feature,T - Hypsographic
SBKH,sabkha(s),salt flat(s) or salt encrusted plain(s) subject to periodic inundation from flooding or high tides,Center of Feature,H - Hydrographic
SCH,school,building(s) where instruction in one or more branches of knowledge takes place,Center of Feature,S - Spot Features
SCHA,agricultural school,a school with a curriculum focused on agriculture,Center of Feature,S - Spot Features
SCHC,college,the grounds and buildings of an institution of higher learning,Center of Feature,S - Spot Features
SCHM,military school,a school at which military science forms the core of the curriculum,Center of Feature,S - Spot Features
SCHN,maritime school,a school at which maritime sciences form the core of the curriculum,Center of Feature,S - Spot Features
SCHT,technical school,post-secondary school with a specifically technical or vocational curriculum,Center of Feature,S - Spot Features
SCNU,seachannel,"a continuously sloping, elongated depression commonly found in fans or plains and customarily bordered by levees on one or two sides",Center of Feature (modification/addition requires ACUF approval),U - Undersea
SCRB,scrubland,"a tract covered sparsely by low trees, bushes, and/or shrubs that have been stunted by an environmental limitation",Center of Feature,V - Vegetation
SCRP,escarpment,a long line of cliffs or steep slopes separating level surfaces above and below,Center of Feature,T - Hypsographic
SCSU,seachannels,"continuously sloping, elongated depressions commonly found in fans or plains and customarily bordered by levees on one or two sides",Center of Feature (modification/addition requires ACUF approval),U - Undersea
SD,sound,a long arm of the sea forming a channel between the mainland and an island or islands; or connecting two larger bodies of water,Center of Feature,H - Hydrographic
SDL,saddle,"a broad, open pass crossing a ridge or between hills or mountains",Center of Feature,T - Hypsographic
SDLU,undersea saddle,"a low part, resembling in shape a saddle, in a ridge or between contiguous seamounts",Center of Feature (modification/addition requires ACUF approval),U - Undersea
SEA,sea,a large body of salt water more or less confined by continuous land or chains of islands forming a subdivision of an ocean,Center of Feature (changes to primary name or designation require BGN/FNC approval),H - Hydrographic
SHFU,undersea shelf,a zone adjacent to a continent (or around an island) that extends from the low water line to a depth at which there is usually a marked increase of slope towards oceanic depths,Center of Feature (modification/addition requires ACUF approval),U - Undersea
SHLU,undersea shoal,a surface-navigation hazard composed of unconsolidated material,Center of Feature (modification/addition requires ACUF approval),U - Undersea
SHOL,shoal(s),surface-navigation hazard(s) composed of unconsolidated material,Center of Feature,H - Hydrographic
SHOPC,shopping center or mall,an urban shopping area featuring a variety of shops surrounding a usually open-air concourse reserved for pedestrian traffic; or a large suburban building or group of buildings containing various shops with associated passageways,Center of Feature,S - Spot Features
SHOR,shore,"a narrow zone bordering a waterbody which covers and uncovers at high and low water, respectively",Center of Feature,T - Hypsographic
SHRN,shrine,a structure or place memorializing a person or religious concept,Center of Feature,S - Spot Features
SHSE,storehouse,"a building for storing goods, especially provisions",Center of Feature,S - Spot Features
SHSU,undersea shoals,hazards to surface navigation composed of unconsolidated material,Center of Feature (modification/addition requires ACUF approval),U - Undersea
SHVU,undersea shelf valley,"a valley on the shelf, generally the shoreward extension of a canyon",Center of Feature (modification/addition requires ACUF approval),U - Undersea
SILU,undersea sill,"the low part of an underwater gap or saddle separating basins, including a similar feature at the mouth of a fjord",Center of Feature (modification/addition requires ACUF approval),U - Undersea
SINK,sinkhole,a small crater-shape depression in a karst area,Center of Feature,T - Hypsographic
SLCE,sluice,"a conduit or passage for carrying off surplus water from a waterbody, usually regulated by means of a sluice gate",Center of Feature,S - Spot Features
SLID,slide,"a mound of earth material, at the base of a slope and the associated scoured area",Center of Feature,T - Hypsographic
SLP,slope(s),surface(s) with a relatively uniform slope angle,Center of Feature,T - Hypsographic
SLPU,undersea slope,the slope seaward from the shelf edge to the beginning of a continental rise or the point where there is a general reduction in slope,Center of Feature (modification/addition requires ACUF approval),U - Undersea
SMSU,seamounts,"elevations rising generally more than 1,000 meters and of limited extent across the summit",Center of Feature (modification/addition requires ACUF approval),U - Undersea
SMU,seamount,"an elevation rising generally more than 1,000 meters and of limited extent across the summit",Center of Feature (modification/addition requires ACUF approval),U - Undersea
SNOW,snowfield,an area of permanent snow and ice forming the accumulation area of a glacier,Center of Feature,L - Areas/Localities
SNTR,sanatorium,a facility where victims of physical or mental disorders are treated,Center of Feature,S - Spot Features
SPA,spa,a resort area usually developed around a medicinal spring,Center of Feature,S - Spot Features
SPIT,spit,"a narrow, straight or curved continuation of a beach into a waterbody",Center of Feature,T - Hypsographic
SPLY,spillway,"a passage or outlet through which surplus water flows over, around or through a dam",Center of Feature,S - Spot Features
SPNG,spring(s),place(s) where ground water flows naturally out of the ground,Center of Feature,H - Hydrographic
SPNS,sulphur spring(s),place(s) where sulphur ground water flows naturally out of the ground,Center of Feature,H - Hydrographic
SPNT,hot spring(s),place(s) where hot ground water flows naturally out of the ground,Center of Feature,H - Hydrographic
SPRU,undersea spur,"a subordinate elevation, ridge, or rise projecting outward from a larger feature",Center of Feature (modification/addition requires ACUF approval),U - Undersea
SPUR,spur(s),"subordinate ridge(s) projecting outward from a hill, mountain or other elevation",Center of Feature,T - Hypsographic
SQR,square,"a broad, open, public area near the center of a town or city",Center of Feature,S - Spot Features
ST,street,a paved urban thoroughfare,"Westernmost End (When feature is North to South Oriented, Southernmost End)",R - Transportation Networks
STBL,stable,"a building for the shelter and feeding of farm animals, especially horses",Center of Feature,S - Spot Features
STDM,stadium,a structure with an enclosure for athletic games with tiers of seats for spectators,Center of Feature,S - Spot Features
STKR,stock route,a route taken by livestock herds,"Westernmost End (When feature is North to South Oriented, Southernmost End)",R - Transportation Networks
STLMT,Israeli settlement,Israeli settlement,Center of Feature,P - Populated Places
STM,stream(s),natural flowing watercourse(s),At Mouth,H - Hydrographic
STMA,anabranch,a diverging branch flowing out of a main stream and rejoining it downstream,At Mouth,H - Hydrographic
STMB,stream bend,a conspicuously curved or bent segment of a stream,Center of Feature,H - Hydrographic
STMC,canalized stream,"a stream that has been substantially ditched, diked, or straightened",At Mouth,H - Hydrographic
